reading_id,recorded_at,building_zone,sensor_id,floor_number,occupancy_count,outdoor_temp_c,outdoor_humidity_pct,outdoor_pm25_ug_m3,indoor_temp_c,indoor_humidity_pct,co2_ppm,pm25_ug_m3,tvoc_ppb,air_flow_m3_h,fan_speed_rpm,hvac_power_kw,filter_pressure_pa,vibration_mm_s,maintenance_days,window_open_pct,equipment_age_years,firmware_version,diagnostic_state
11,2025-01-01T13:00,B06-Z02,S0111,2,15,20.16,85.06,32.24,19.73,57.39,558.34,15.32,111.04,2531.9,807.92,38.37,132.47,1.9,145,74.86,9.5,v1.0.2,normal
12,2025-01-01T13:30,B05-Z02,S0028,2,42,20.38,60.71,19.82,17.85,50.7,564.6,9.18,176.76,2223.52,890.98,39.6,198.78,3.59,142,9.23,1.9,v2.0.1,normal
13,2025-01-01T14:00,B05-Z04,S0027,4,40,21.66,73.54,33.48,20.59,63.11,699.21,10.97,123.02,2393.01,1603.29,21.92,110.39,2.77,39,8.95,5.4,v2.0.1,normal
14,2025-01-01T14:30,B05-Z03,S0071,3,26,20.29,58.87,77.93,21.07,62.21,716.65,28.29,352.3,2149.34,950.49,17.57,195.81,1.13,106,63.99,0.7,v2.0.1,normal
15,2025-01-01T15:00,B04-Z02,S0103,2,14,31.23,56.17,26.14,31.44,52.65,432.78,11.53,317.41,2079.4,1098.47,37.96,148.46,1.28,131,61.87,4.1,v2.0.1,normal
16,2025-01-01T15:30,B01-Z01,S0015,1,12,22.7,71.13,83.85,21.93,74.91,1445.69,134.81,336.43,949.12,1411.52,59.61,336.19,,51,43.08,3.8,v1.0.2,ventilation_issue
17,2025-01-01T16:00,B06-Z02,S0118,2,43,23.65,83.16,65.38,21.45,51.19,554.77,27.51,127.87,2213.92,978.66,18.18,156.25,1.72,149,24.31,6.0,v2.0.1,normal
18,2025-01-01T16:30,B04-Z03,S0057,3,43,21.85,66.29,78.08,22.63,48.39,447.98,35.5,374.56,2686.12,1453.22,23.38,200.03,0.46,117,48.9,4.2,v1.1.0,normal
19,2025-01-01T17:00,B06-Z03,S0090,3,35,25.19,51.64,63.13,26.55,62.21,712.2,33.68,390.85,2106.38,1306.13,35.1,186.55,3.1,114,79.03,6.0,v2.1.3,normal
20,2025-01-01T17:30,B05-Z02,S0058,2,17,31.39,66.36,33.14,31.87,75.94,1865.81,45.37,408.28,1101.4,981.86,41.86,330.85,0.83,107,12.22,4.2,v2.1.3,ventilation_issue
21,2025-01-01T18:00,B04-Z02,S0008,2,26,25.56,85.72,55.89,25.73,62.13,672.65,23.14,346.51,1808.25,1212.8,23.79,192.88,3.44,100,21.83,3.5,v2.1.3,normal
22,2025-01-01T18:30,B06-Z04,S0022,4,20,34.55,89.13,52.39,38.99,74.8,1763.0,51.11,187.47,942.89,1014.43,56.67,345.44,1.63,21,66.55,4.7,v1.0.2,ventilation_issue
23,2025-01-01T19:00,B03-Z04,S0029,4,44,32.06,74.33,67.8,33.76,48.99,426.73,23.44,203.87,1976.71,939.2,31.74,172.04,3.67,80,62.22,1.5,v1.0.2,normal
24,2025-01-01T19:30,B03-Z02,S0074,2,36,35.25,62.85,65.05,31.71,58.81,626.99,21.5,195.41,2881.47,1522.14,36.26,176.05,1.6,126,27.3,1.4,v2.0.1,normal
25,2025-01-01T20:00,B06-Z01,S0115,1,15,30.73,64.6,66.37,35.52,66.75,1908.2,91.88,93.8,986.8,1122.14,45.89,422.34,1.15,8,48.83,4.9,v2.0.1,ventilation_issue
26,2025-01-01T20:30,B02-Z02,S0063,2,44,32.36,60.32,76.62,32.57,50.53,423.35,44.78,337.62,1919.86,1006.81,33.0,163.74,0.36,149,32.35,3.8,v2.0.1,normal
27,2025-01-01T21:00,B04-Z02,S0096,2,17,24.33,65.42,36.46,21.71,59.43,524.13,19.06,440.88,3131.23,993.36,32.25,131.07,1.29,46,15.53,3.2,v1.1.0,normal
28,2025-01-01T21:30,B03-Z01,S0006,1,30,27.96,76.38,23.84,39.1,80.8,1036.36,15.01,85.48,1763.28,1489.47,56.01,173.97,2.32,78,12.14,1.3,v1.1.0,thermal_issue
29,2025-01-01T22:00,B01-Z04,S0072,4,6,28.91,80.58,30.8,31.05,71.26,1542.72,51.56,141.04,1392.03,863.81,42.63,406.94,2.61,1,13.91,4.2,v2.1.3,ventilation_issue
30,2025-01-01T22:30,B03-Z02,S0005,2,41,30.73,76.63,46.78,30.85,63.48,679.98,22.81,163.6,2725.66,1500.6,38.34,156.77,0.51,74,47.6,4.5,v2.1.3,normal
31,2025-01-01T23:00,B06-Z03,S0039,3,36,34.97,67.52,49.57,31.45,45.8,562.57,19.66,68.09,2150.52,948.91,17.28,215.81,3.17,133,61.05,6.4,v2.0.1,normal
32,2025-01-01T23:30,B02-Z02,S0075,2,35,32.66,88.61,47.9,31.11,51.42,454.52,16.68,,2376.3,1535.17,27.39,182.88,1.18,1,61.8,6.4,v2.1.3,normal
33,2025-01-02T00:00,B04-Z02,S0007,2,38,24.51,79.04,58.78,25.07,49.07,601.24,33.99,336.82,2413.36,1515.19,32.46,123.36,0.35,30,17.98,4.7,v1.0.2,normal
34,2025-01-02T00:30,B06-Z01,S0107,1,8,34.79,58.13,64.38,33.28,54.65,575.83,28.14,167.74,2002.5,1497.47,19.77,175.93,1.75,73,40.62,7.0,v2.1.3,normal
35,2025-01-02T01:00,B02-Z01,S0058,1,30,24.21,69.84,53.04,22.94,51.44,482.26,27.01,376.45,2600.52,1221.03,20.84,195.31,2.62,10,78.47,1.6,v2.0.1,normal
36,2025-01-02T01:30,B01-Z04,S0112,4,5,19.79,85.97,16.07,19.65,81.77,2069.96,15.55,392.41,1225.22,1445.49,41.63,407.26,1.63,139,57.5,0.8,v1.0.2,ventilation_issue
37,2025-01-02T02:00,B02-Z04,S0081,4,3,23.17,55.24,21.33,25.04,60.21,652.28,7.04,206.19,2032.91,944.49,22.49,113.18,2.16,21,63.4,6.0,v2.1.3,normal
38,2025-01-02T02:30,B05-Z04,S0088,4,22,34.43,51.44,47.28,31.95,50.11,423.1,25.6,176.67,3061.69,1649.47,31.94,127.38,2.72,124,24.17,1.5,v2.1.3,normal
39,2025-01-02T03:00,B05-Z03,S0046,3,18,35.87,58.29,83.46,35.82,50.49,606.76,42.21,149.75,2842.54,1442.24,16.23,176.7,1.07,36,20.05,6.2,v1.0.2,normal
40,2025-01-02T03:30,B03-Z02,S0101,2,10,28.43,77.96,21.31,26.2,59.95,477.96,7.24,381.63,2555.17,897.89,39.29,168.39,3.12,20,27.1,1.8,v1.1.0,normal
41,2025-01-02T04:00,B06-Z02,S0093,2,40,25.15,83.06,54.01,21.69,52.89,507.27,18.21,102.25,2316.02,1577.97,33.73,138.84,0.39,57,44.91,6.3,v2.1.3,normal
42,2025-01-02T04:30,B06-Z03,S0039,3,34,20.1,47.04,17.6,22.08,47.32,497.48,8.12,349.48,2344.1,1146.9,24.28,214.43,1.75,72,39.15,0.8,v2.0.1,normal
43,2025-01-02T05:00,B02-Z03,S0057,3,5,22.25,61.32,83.66,20.45,63.03,632.79,26.62,310.26,2186.23,907.04,39.21,214.39,0.37,145,19.49,2.3,v1.1.0,normal
44,2025-01-02T05:30,B05-Z03,S0028,3,8,22.19,79.85,70.21,24.77,66.93,2084.03,125.59,,1032.17,844.54,54.96,335.39,1.13,108,13.94,5.2,v1.0.2,ventilation_issue
45,2025-01-02T06:00,B04-Z04,S0058,4,30,27.24,49.91,50.27,31.91,61.08,1883.23,84.47,226.25,1017.16,1073.8,46.45,454.96,2.79,38,71.94,1.1,v2.0.1,ventilation_issue
46,2025-01-02T06:30,B05-Z04,S0082,4,13,30.82,62.14,56.82,28.59,55.11,561.97,30.57,406.36,1960.18,1065.67,31.37,206.55,3.2,81,58.37,6.5,v2.0.1,normal
47,2025-01-02T07:00,B02-Z01,S0088,1,22,19.21,82.43,21.53,18.79,78.47,1911.77,30.16,427.04,1069.17,1065.58,49.04,366.15,3.51,27,23.01,5.7,v1.1.0,ventilation_issue
48,2025-01-02T07:30,B02-Z01,S0085,1,35,33.25,60.76,53.94,29.94,50.57,494.63,23.13,,2585.35,1397.29,34.19,178.39,3.2,80,14.43,8.8,v2.0.1,normal
49,2025-01-02T08:00,B01-Z01,S0024,1,36,28.19,63.04,24.93,30.99,60.77,1846.11,27.26,404.5,935.87,1176.65,43.52,371.81,2.94,109,6.53,4.9,v2.1.3,ventilation_issue
50,2025-01-02T08:30,B04-Z02,S0035,2,13,27.22,60.53,22.76,27.29,56.86,593.89,8.93,358.02,2108.73,909.81,39.61,116.03,0.72,137,34.45,6.8,v2.0.1,normal
51,2025-01-02T09:00,B01-Z03,S0051,3,39,18.76,45.84,79.48,22.93,74.39,1673.4,122.28,328.95,934.16,1140.38,37.88,322.92,1.83,21,34.85,4.1,v2.0.1,ventilation_issue
52,2025-01-02T09:30,B06-Z04,S0044,4,16,32.02,48.44,59.33,31.2,48.88,676.16,24.05,294.94,3141.51,1220.0,31.14,126.25,2.59,145,61.83,7.3,v2.1.3,normal
53,2025-01-02T10:00,B06-Z02,S0119,2,4,29.57,89.39,37.62,34.4,67.9,1539.76,49.73,236.25,1105.11,1527.0,54.91,402.8,3.21,130,69.14,4.0,v1.0.2,ventilation_issue
54,2025-01-02T10:30,B04-Z03,S0117,3,15,29.73,59.47,48.29,29.64,61.55,1203.5,82.54,446.48,874.75,1129.3,52.86,390.64,2.43,87,73.43,6.6,v1.0.2,ventilation_issue
55,2025-01-02T11:00,B06-Z01,S0083,1,19,23.93,70.11,42.06,21.44,62.03,738.26,20.22,332.41,2010.52,1120.18,17.04,183.0,2.38,85,24.77,7.8,v1.0.2,normal
56,2025-01-02T11:30,B06-Z01,S0086,1,34,24.51,61.32,27.62,21.8,63.95,580.47,10.16,404.64,1992.59,911.39,16.93,202.89,,97,61.3,1.9,v1.1.0,normal
57,2025-01-02T12:00,B06-Z03,S0099,3,30,34.25,77.45,18.06,32.44,59.39,739.96,8.73,135.67,2853.35,1461.41,34.6,135.74,2.3,129,61.56,5.2,v1.1.0,normal
58,2025-01-02T12:30,B02-Z03,S0103,3,32,33.71,47.35,48.64,31.94,63.69,654.76,22.12,230.61,1974.55,822.67,17.1,127.63,1.08,14,27.97,4.1,v2.0.1,normal
59,2025-01-02T13:00,B02-Z04,S0050,4,45,24.75,46.27,80.16,35.7,84.3,995.69,36.48,299.99,1544.26,1599.19,65.74,240.49,0.37,136,11.96,4.3,v2.0.1,thermal_issue
60,2025-01-02T13:30,B02-Z04,S0039,4,0,22.29,73.75,58.6,18.67,61.73,584.94,27.0,153.82,2684.74,857.53,29.38,189.04,2.63,135,77.97,5.4,v1.0.2,normal
61,2025-01-02T14:00,B04-Z01,S0112,1,2,29.44,89.15,32.76,25.54,60.77,533.78,17.03,192.03,2679.56,1206.75,34.29,190.87,3.21,47,78.47,7.8,v1.0.2,normal
62,2025-01-02T14:30,B06-Z03,S0100,3,18,18.67,54.07,70.38,29.93,76.94,755.04,39.36,364.53,2178.49,1556.06,56.83,154.76,1.46,113,29.44,8.6,v2.1.3,thermal_issue
63,2025-01-02T15:00,B03-Z03,S0024,3,42,26.96,86.59,51.35,27.77,59.54,446.05,24.69,233.91,2951.28,1417.79,28.64,145.33,0.88,91,35.77,6.0,v2.1.3,normal
64,2025-01-02T15:30,B03-Z01,S0082,1,,35.06,48.38,59.63,42.92,87.62,939.71,46.58,363.62,1371.34,1377.2,60.19,251.57,1.64,95,48.41,3.8,v1.0.2,thermal_issue
65,2025-01-02T16:00,B05-Z03,S0018,3,39,25.16,74.23,32.47,21.84,59.71,584.68,13.51,417.43,2586.34,1563.88,21.54,138.63,0.73,114,36.16,9.5,v2.0.1,normal
66,2025-01-02T16:30,B06-Z02,S0045,2,15,27.9,58.07,36.0,24.85,59.19,651.07,12.68,70.25,2306.09,1320.16,20.61,218.36,1.59,23,44.13,1.1,v2.1.3,normal
67,2025-01-02T17:00,B06-Z03,S0093,3,37,25.39,63.42,55.24,22.14,51.34,444.47,24.29,436.84,2524.3,930.06,18.21,201.2,3.49,43,9.93,2.0,v1.1.0,normal
68,2025-01-02T17:30,B03-Z04,S0067,4,42,33.23,56.28,59.45,35.54,63.13,1402.82,82.05,411.78,1002.06,869.04,39.22,451.82,3.53,148,69.1,2.9,v1.1.0,ventilation_issue
69,2025-01-02T18:00,B05-Z03,S0054,3,26,18.55,85.0,53.19,18.4,51.04,500.81,28.84,139.57,2368.53,1531.66,26.34,185.75,1.39,103,58.74,1.7,v2.0.1,normal
70,2025-01-02T18:30,B05-Z01,S0072,1,36,22.35,50.51,46.47,19.2,46.01,731.98,25.99,134.04,2385.39,1222.76,39.07,209.25,3.79,24,70.33,9.0,v2.1.3,normal
71,2025-01-02T19:00,B02-Z04,S0028,4,25,18.88,57.66,56.83,19.94,58.45,514.3,17.19,216.23,1950.5,1228.62,18.35,139.09,0.98,141,5.88,3.0,v1.0.2,normal
72,2025-01-02T19:30,B02-Z01,S0013,1,29,32.31,60.26,80.73,32.84,48.98,588.01,36.33,408.32,1863.42,1324.03,18.43,146.63,3.56,77,31.44,5.8,v2.1.3,normal
73,2025-01-02T20:00,B06-Z03,S0073,3,37,32.68,61.58,62.17,34.56,56.67,682.93,32.18,341.35,2763.26,1514.99,15.67,162.2,0.9,38,49.58,7.9,v1.1.0,normal
74,2025-01-02T20:30,B01-Z02,S0074,2,8,19.98,45.85,36.96,26.46,85.19,805.19,26.24,278.75,2304.63,1190.71,66.82,245.66,1.97,137,76.53,3.6,v2.0.1,thermal_issue
75,2025-01-02T21:00,B06-Z02,S0099,2,44,30.25,81.16,33.51,32.16,83.93,1379.01,39.16,183.65,1353.19,903.59,59.56,427.96,3.57,140,21.88,3.9,v2.1.3,ventilation_issue
76,2025-01-02T21:30,B03-Z04,S0099,4,8,23.23,57.94,64.99,24.31,71.06,1356.44,86.51,348.95,761.65,997.91,48.46,450.62,0.48,26,18.05,4.2,v2.1.3,ventilation_issue
77,2025-01-02T22:00,B01-Z04,S0088,4,5,18.09,69.77,80.04,19.53,83.38,1978.4,106.43,150.57,759.56,1583.25,59.1,364.96,3.28,107,,8.4,v1.1.0,ventilation_issue
78,2025-01-02T22:30,B01-Z02,S0108,2,34,26.92,87.15,82.35,28.48,62.53,423.06,38.74,406.81,1950.22,1081.08,39.57,141.3,2.06,118,64.71,6.3,v1.1.0,normal
79,2025-01-02T23:00,B01-Z01,S0095,1,30,23.31,75.35,28.52,22.98,57.77,553.81,12.22,156.74,2259.1,1056.65,25.02,120.49,1.12,147,76.32,0.6,v2.0.1,normal
80,2025-01-02T23:30,B06-Z03,S0031,3,14,20.13,58.81,43.38,19.15,62.9,652.17,17.06,246.49,1964.38,1575.88,37.9,142.45,3.76,138,56.16,7.7,v1.1.0,normal
81,2025-01-03T00:00,B02-Z04,S0088,4,20,33.72,48.68,46.27,36.94,61.95,1664.17,44.21,232.32,1038.12,1178.66,47.64,400.18,2.81,15,71.91,4.6,v2.1.3,ventilation_issue
82,2025-01-03T00:30,B04-Z03,S0073,3,4,26.32,81.31,65.63,24.7,61.33,666.12,31.08,244.11,1863.41,1419.9,23.61,117.01,0.93,108,51.32,3.9,v2.1.3,normal
83,2025-01-03T01:00,B04-Z03,S0112,3,0,24.79,48.61,82.49,29.04,63.32,1960.29,83.05,441.61,1394.28,995.21,44.83,337.83,2.82,118,30.34,3.6,v2.0.1,ventilation_issue
84,2025-01-03T01:30,B02-Z03,S0120,3,3,31.78,46.45,61.21,34.47,83.41,1989.04,68.35,77.25,653.83,919.12,49.85,382.5,2.19,75,62.09,2.6,v2.0.1,ventilation_issue
85,2025-01-03T02:00,B05-Z03,S0077,3,43,32.73,55.66,76.34,37.64,73.03,1513.56,87.61,253.29,1045.37,1070.92,49.79,422.93,3.6,107,62.86,4.2,v2.0.1,ventilation_issue
86,2025-01-03T02:30,B04-Z01,S0024,1,13,26.52,83.22,36.05,29.77,80.14,2014.74,50.69,90.84,1374.23,843.81,48.93,338.77,1.6,97,66.35,6.6,v1.0.2,ventilation_issue
87,2025-01-03T03:00,B01-Z03,S0025,3,30,28.58,75.22,30.19,28.83,82.68,1403.19,51.87,331.29,769.45,1040.6,39.75,423.81,1.69,120,25.73,5.3,v2.0.1,ventilation_issue
88,2025-01-03T03:30,B03-Z02,S0034,2,1,33.89,65.97,71.2,34.22,60.23,525.68,25.7,424.56,2238.09,1122.86,16.14,205.05,1.76,63,26.39,5.0,v2.0.1,normal
89,2025-01-03T04:00,B03-Z01,S0098,1,3,35.4,73.88,49.34,35.41,79.87,1269.27,76.39,387.24,990.65,916.87,57.92,395.9,3.16,60,0.51,1.1,v1.1.0,ventilation_issue
90,2025-01-03T04:30,B01-Z01,S0028,1,18,24.72,72.8,61.67,24.42,54.66,580.99,18.62,,2572.3,890.96,15.3,168.24,2.66,25,72.78,5.2,v1.1.0,normal
91,2025-01-03T05:00,B02-Z03,S0080,3,41,32.67,57.03,42.78,30.91,53.12,606.45,25.54,96.47,2116.2,945.68,32.1,203.27,2.23,128,0.76,8.1,v2.0.1,normal
92,2025-01-03T05:30,B05-Z03,S0110,3,42,34.11,86.36,31.08,45.47,85.23,883.39,15.8,,2308.99,1439.42,62.11,186.45,1.4,102,46.96,8.9,v2.0.1,thermal_issue
93,2025-01-03T06:00,B02-Z02,S0073,2,27,33.02,62.51,77.76,31.01,60.11,466.18,46.39,89.65,2813.83,1077.42,27.52,217.18,2.45,70,77.51,7.6,v2.1.3,normal
94,2025-01-03T06:30,B04-Z04,S0030,4,40,34.94,64.43,62.58,34.9,46.71,624.14,33.76,211.95,2798.35,1447.14,17.05,126.96,0.62,27,35.58,1.7,v1.1.0,normal
95,2025-01-03T07:00,B04-Z02,S0058,2,35,27.22,49.65,21.27,26.55,56.94,678.86,11.89,441.49,1817.28,1055.96,25.35,195.71,0.89,127,11.11,1.8,v1.1.0,normal
96,2025-01-03T07:30,B04-Z02,S0036,2,39,26.72,48.46,32.62,24.2,57.5,615.96,11.7,396.26,1949.76,1305.23,22.62,214.37,1.81,77,52.08,3.4,v1.1.0,normal
97,2025-01-03T08:00,B04-Z04,S0041,4,12,25.17,59.36,66.44,24.97,64.36,678.05,26.43,272.8,2192.42,1402.11,34.65,150.15,2.23,113,36.93,7.7,v1.0.2,normal
98,2025-01-03T08:30,B04-Z02,S0087,2,44,29.4,55.89,61.11,29.69,60.78,444.41,36.5,74.34,2470.93,1577.24,25.02,165.73,2.76,28,47.51,7.4,v2.0.1,normal
99,2025-01-03T09:00,B02-Z02,S0083,2,44,28.14,74.03,60.27,29.94,51.63,682.76,20.0,233.85,1938.05,1093.22,20.55,192.15,3.0,7,40.04,4.8,v2.0.1,normal
100,2025-01-03T09:30,B04-Z02,S0118,2,19,20.09,87.33,24.92,27.62,80.02,703.43,14.78,337.2,1771.4,1480.04,55.95,240.58,,63,8.75,5.1,v1.1.0,thermal_issue
101,2025-01-03T10:00,B03-Z03,S0072,3,,26.32,80.9,59.08,23.44,58.15,550.54,30.79,168.55,3036.34,1256.36,26.24,157.25,3.09,94,63.96,3.4,v2.1.3,normal
102,2025-01-03T10:30,B01-Z04,S0034,4,39,26.81,88.47,36.94,25.14,52.85,457.7,14.98,322.12,2441.0,920.15,19.31,184.09,1.14,100,29.86,4.3,v1.1.0,normal
103,2025-01-03T11:00,B05-Z03,S0050,3,0,26.76,69.18,79.34,28.34,48.46,475.07,30.68,136.1,2061.94,1217.97,36.05,178.14,2.27,114,32.73,4.9,v1.0.2,normal
104,2025-01-03T11:30,B05-Z03,S0004,3,34,21.97,46.47,30.74,22.7,79.52,1665.65,49.04,203.08,996.25,1641.31,47.77,400.18,0.45,27,43.71,7.1,v1.1.0,ventilation_issue
105,2025-01-03T12:00,B03-Z02,S0112,2,40,26.1,60.69,72.17,34.45,91.87,987.82,35.71,300.3,2172.84,1252.44,59.7,195.58,3.15,138,45.61,2.0,v2.0.1,thermal_issue
106,2025-01-03T12:30,B03-Z02,S0074,2,15,33.44,89.35,62.55,30.01,64.26,679.28,36.01,185.62,3189.48,1337.54,36.68,123.96,3.25,107,11.37,3.9,v1.0.2,normal
107,2025-01-03T13:00,B06-Z01,S0102,1,29,19.68,68.2,34.48,24.3,69.23,2050.25,41.19,331.94,601.98,1501.12,54.35,422.58,3.08,127,77.45,2.9,v2.0.1,ventilation_issue
108,2025-01-03T13:30,B03-Z03,S0071,3,0,28.19,66.84,39.06,28.29,45.97,452.86,20.9,226.84,2443.41,1543.26,18.11,204.34,3.48,71,24.15,1.3,v2.0.1,normal
109,2025-01-03T14:00,B03-Z01,S0011,1,14,34.27,52.45,42.74,32.1,58.99,497.27,21.23,233.58,2785.18,1531.29,15.03,162.45,,34,9.65,4.8,v1.1.0,normal
110,2025-01-03T14:30,B04-Z01,S0012,1,,19.84,59.1,76.67,16.66,60.47,668.54,26.06,231.64,3190.12,1383.58,18.57,168.36,2.5,56,32.94,1.3,v1.0.2,normal
111,2025-01-03T15:00,B02-Z01,S0097,1,1,31.14,60.82,45.06,31.89,49.96,632.72,16.87,316.78,2641.4,1051.21,33.03,141.34,2.11,14,59.83,7.6,v1.1.0,normal
112,2025-01-03T15:30,B04-Z04,S0050,4,30,26.99,71.73,51.98,28.86,64.74,728.2,17.65,360.44,3005.14,833.85,29.21,150.2,,16,20.97,9.0,v2.1.3,normal
113,2025-01-03T16:00,B05-Z01,S0037,1,34,27.02,63.69,64.13,23.51,55.73,623.3,24.58,288.71,2233.87,1171.86,27.78,132.35,2.57,62,24.81,1.0,v1.0.2,normal
114,2025-01-03T16:30,B04-Z02,S0015,2,16,28.96,58.92,66.92,29.4,47.39,653.61,34.16,109.5,2029.37,824.95,38.83,167.53,1.24,110,61.71,2.9,v1.0.2,normal
115,2025-01-03T17:00,B03-Z01,S0092,1,32,29.3,67.33,50.75,35.16,88.91,683.44,23.49,,2127.99,1582.19,67.36,237.64,0.34,46,29.12,8.9,v1.0.2,thermal_issue
116,2025-01-03T17:30,B05-Z02,S0103,2,33,31.33,63.87,37.53,32.83,78.01,1371.26,36.41,432.09,898.25,1078.21,47.55,446.27,1.93,142,67.59,4.6,v2.0.1,ventilation_issue
117,2025-01-03T18:00,B02-Z03,S0038,3,,23.47,73.02,47.47,23.02,54.87,674.96,17.02,150.87,3060.62,801.24,34.01,136.96,3.24,97,76.08,8.1,v2.0.1,normal
118,2025-01-03T18:30,B01-Z04,S0027,4,5,22.29,67.14,19.19,24.27,59.23,450.7,11.06,257.12,3056.2,1363.08,27.99,187.09,1.68,34,4.98,2.6,v2.0.1,normal
119,2025-01-03T19:00,B03-Z03,S0119,3,26,30.61,78.09,37.26,31.24,61.87,1302.71,59.69,199.73,1067.77,876.86,38.89,343.01,1.88,78,68.2,7.9,v1.0.2,ventilation_issue
120,2025-01-03T19:30,B02-Z03,S0107,3,35,20.67,77.0,82.79,22.05,61.22,1398.84,135.62,240.2,739.09,1505.82,58.8,439.64,0.79,57,,1.7,v2.1.3,ventilation_issue
121,2025-01-03T20:00,B03-Z04,S0088,4,21,29.6,71.2,33.12,30.48,45.44,441.28,18.9,427.49,2420.8,1221.71,18.22,209.56,3.53,98,57.95,6.6,v1.1.0,normal
122,2025-01-03T20:30,B03-Z04,S0028,4,26,22.95,65.07,25.4,25.63,75.42,1747.28,34.26,405.01,1306.22,1640.99,46.98,332.28,2.51,92,63.59,4.8,v2.1.3,ventilation_issue
123,2025-01-03T21:00,B03-Z04,S0117,4,14,23.79,57.17,16.82,23.37,45.59,687.53,6.46,99.05,2932.12,847.52,26.79,149.32,1.23,57,73.38,5.7,v2.1.3,normal
124,2025-01-03T21:30,B03-Z04,S0120,4,12,33.21,52.92,56.48,37.05,77.44,2013.98,52.27,376.06,1160.45,847.74,58.69,398.9,2.2,57,3.04,0.7,v2.1.3,ventilation_issue
125,2025-01-03T22:00,B01-Z01,S0043,1,23,21.63,50.87,65.19,26.14,81.11,1423.59,59.96,205.7,1069.29,915.98,57.93,428.41,1.68,41,24.14,7.1,v2.1.3,ventilation_issue
126,2025-01-03T22:30,B06-Z01,S0063,1,0,21.14,88.59,63.55,22.71,60.74,493.67,30.29,429.99,2045.49,1312.03,22.67,185.73,3.78,57,2.59,6.3,v1.0.2,normal
127,2025-01-03T23:00,B04-Z04,S0019,4,44,19.4,60.61,37.37,19.22,64.26,691.15,18.72,160.1,2821.0,1623.74,23.39,111.25,0.3,106,58.61,4.9,v2.1.3,normal
128,2025-01-03T23:30,B03-Z04,S0070,4,21,32.92,80.49,55.46,33.47,49.51,568.92,29.93,206.43,1846.78,1304.93,15.5,138.72,2.21,124,7.45,6.8,v2.1.3,normal
129,2025-01-04T00:00,B06-Z01,S0022,1,25,25.82,47.41,38.18,27.67,53.19,602.86,22.06,387.54,2556.18,1362.72,31.51,142.71,1.56,123,23.56,2.3,v1.0.2,normal
130,2025-01-04T00:30,B02-Z03,S0022,3,11,35.59,66.31,23.09,36.3,54.42,715.31,8.76,162.69,2698.61,1439.4,24.69,150.81,1.09,25,4.93,1.3,v2.0.1,normal
131,2025-01-04T01:00,B05-Z02,S0053,2,45,28.62,69.91,73.86,39.44,79.21,867.76,55.16,,1769.79,925.33,67.04,211.91,2.11,115,78.62,2.1,v1.1.0,thermal_issue
